data_pm_2.5,dates,data_pm_10,precipitation,year,Number of tourists,Receipts,perc of GNP,date,uWind,vWind,wind_dir_deg,wind_dir_labels,wind_speed
1.5159650645912848e-08,2018-03-25,2.5242655965485028e-08,0.050653685,2018,12.49,9.52,7.5,2018-03-25,-0.44907030794355607,-2.2648551728990345,11.215016820656842,N,2.308946317194065
1.3835245615823055e-08,2018-03-26,2.166398438419037e-08,0.0,2018,12.49,9.52,7.5,2018-03-26,-1.9240770869784884,-2.750663121541341,34.972624339483104,NE,3.3568169811360256
1.3745728111302924e-08,2018-03-27,2.017061873083037e-08,0.0,2018,12.49,9.52,7.5,2018-03-27,-2.042592419518365,-1.6795632574293349,50.57055136001998,NE,2.644450137170396
3.2051850840097984e-08,2018-03-28,5.035634031980152e-08,7.2142,2018,12.49,9.52,7.5,2018-03-28,1.2322189542982314,-0.2716453340318468,282.43212721154003,W,1.2618061415419963
2.3668635051876663e-08,2018-03-29,3.625837408094412e-08,3.3188894,2018,12.49,9.52,7.5,2018-03-29,0.25731977158122593,-1.1342439651489258,347.21797287143715,N,1.1630661362637003
2.8186849521105728e-08,2018-03-30,4.228786742999091e-08,0.0,2018,12.49,9.52,7.5,2018-03-30,0.9573090175787607,-1.6207754876878526,329.43183032205,NW,1.8823798066881743
1.2761550260975696e-08,2018-03-31,1.9474857282375524e-08,0.0,2018,12.49,9.52,7.5,2018-03-31,-1.63898770014445,-2.1868342293633356,36.85081112598721,NE,2.732860155211007
9.156581826097465e-09,2018-04-01,1.3254785935501445e-08,0.28046048,2018,12.49,9.52,7.5,2018-04-01,0.7316665814982519,-0.8325737317403158,318.69096359933974,NW,1.1083839611187694
2.0311368698067156e-08,2018-04-02,2.8609475233309922e-08,11.741278,2018,12.49,9.52,7.5,2018-04-02,1.1681258082389832,-0.591620233323839,296.86082861789845,NW,1.3094015443522782
9.890439689463904e-09,2018-04-03,1.375932190406104e-08,0.0,2018,12.49,9.52,7.5,2018-04-03,0.2097211976846059,-0.5132547352049086,337.7745669023814,N,0.5544487388104751
1.327015963781264e-08,2018-04-04,1.9189973055055987e-08,0.0,2018,12.49,9.52,7.5,2018-04-04,-0.965801563527849,-2.7654073503282337,19.251441941791995,N,2.9292064579613126
1.4009506776879732e-08,2018-04-05,2.012955135910488e-08,0.0,2018,12.49,9.52,7.5,2018-04-05,-0.13681432604789734,-1.6232955190870497,4.817607820245712,N,1.6290507978881552
1.1874809247025553e-08,2018-04-06,1.6987932838219422e-08,0.0,2018,12.49,9.52,7.5,2018-04-06,1.5297926763693492,-1.1321850882636175,306.5047929861911,NW,1.9031838341998895
1.0195499555720744e-08,2018-04-07,1.641806979257865e-08,0.0,2018,12.49,9.52,7.5,2018-04-07,1.7662255300415888,-0.3316497008005778,280.63477239053833,W,1.7970932493924192
1.1923464438012843e-08,2018-04-08,1.9812087970194625e-08,0.0,2018,12.49,9.52,7.5,2018-04-08,0.9729652636580998,-0.885761559009552,312.3138908019898,NW,1.315764015203451
1.2205765842487892e-08,2018-04-09,2.0656155896858763e-08,0.05631671,2018,12.49,9.52,7.5,2018-04-09,1.9937162929111056,-2.590397357940674,322.41608463086425,NW,3.268801481987737
7.498304643860365e-09,2018-04-10,1.2101590840529752e-08,0.0,2018,12.49,9.52,7.5,2018-04-10,1.9491822719573975,-0.2240293754471673,276.5565239786612,W,1.9620144470355587
1.5323716739956694e-08,2018-04-11,2.6382813933523153e-08,0.0,2018,12.49,9.52,7.5,2018-04-11,2.872208674127857,-0.16654716059565544,273.31862235316845,W,2.877033302629252
9.46274691937532e-09,2018-04-12,1.502456914437289e-08,11.038919,2018,12.49,9.52,7.5,2018-04-12,2.295556735868255,0.3984917402267456,260.15201317848334,W,2.3298876356208806
1.4566985846731217e-08,2018-04-13,2.6260793206667188e-08,0.008884751,2018,12.49,9.52,7.5,2018-04-13,4.396156152089437,-0.5642422570122613,277.31386947479007,W,4.432218207416248
9.345238582980642e-09,2018-04-14,1.613953481971464e-08,0.0,2018,12.49,9.52,7.5,2018-04-14,0.09643353025118512,-1.0456749068366156,354.7310104932335,N,1.050112106655509
1.3706758270060071e-08,2018-04-15,2.0029084141226505e-08,0.0,2018,12.49,9.52,7.5,2018-04-15,-1.0956207911173501,-1.5867527855767143,34.624296225692035,NE,1.9282555122348464
1.3548707045174524e-08,2018-04-16,1.9067865508759496e-08,0.0,2018,12.49,9.52,7.5,2018-04-16,-0.6630398962232802,-1.2134523921542697,28.652538117787174,NE,1.3827829229523692
1.1896078740136762e-08,2018-04-17,1.6744169092919314e-08,0.0,2018,12.49,9.52,7.5,2018-04-17,-1.0070753627353244,-1.1891441345214844,40.26095976747803,NE,1.5582889843977386
